address,id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
0x325d73aaa786273427eb5222cc5d0f3c1a3462a0,11296208,eyes-clear,ears-gill,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,4,44
0xb1b4410a849dc7f005bc5f5173998a3dd647ba52,11067511,eyes-cucumber-slice,ears-clover,mouth-serious,horn-caterpillars,back-sandal,tail-cattail,Plant,0,31
0xb1b4410a849dc7f005bc5f5173998a3dd647ba52,11219985,eyes-gero,ears-gill,mouth-risky-fish,horn-arco,back-risky-beast,tail-nimo,Aquatic,0,53
0xb1b4410a849dc7f005bc5f5173998a3dd647ba52,11232703,eyes-topaz,ears-hollow,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,0,40
0x0a3575f4a0675bf060f0795d7a512a7fcddf3ff2,1775197,eyes-scar,ears-hollow,mouth-pincer,horn-scaly-spear,back-bone-sail,tail-wall-gecko,Reptile,2,39
0x0a3575f4a0675bf060f0795d7a512a7fcddf3ff2,11226679,eyes-confused,ears-clover,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,3,33
0x0a3575f4a0675bf060f0795d7a512a7fcddf3ff2,11299510,eyes-clear,ears-friezard,mouth-tiny-turtle,horn-scaly-spear,back-croc,tail-cottontail,Dusk,2,47
0xcc353f44e083d616d8a4989a424c47342d0e478f,11043908,eyes-little-owl,ears-tiny-fan,mouth-nut-cracker,horn-arco,back-balloon,tail-nut-cracker,Mech,5,51
0xcc353f44e083d616d8a4989a424c47342d0e478f,11058728,eyes-confused,ears-pogona,mouth-serious,horn-cactus,back-watering-can,tail-cattail,Plant,2,32
0xcc353f44e083d616d8a4989a424c47342d0e478f,11109108,eyes-zeal,ears-curved-spine,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,4,41
0x881ff23451422eba66f36736d1aa4bc706cdef4d,10034896,eyes-gero,ears-nimo,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,0,50
0x881ff23451422eba66f36736d1aa4bc706cdef4d,10093917,eyes-blossom,ears-rosa,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,2,31
0x881ff23451422eba66f36736d1aa4bc706cdef4d,10122982,eyes-gero,ears-gill,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,0,48
0x82bef5ac283bfd282daccf8d53adf604ec5f5a1e,11240733,eyes-cucumber-slice,ears-lotus,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,4,31
0x82bef5ac283bfd282daccf8d53adf604ec5f5a1e,11242121,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
0x82bef5ac283bfd282daccf8d53adf604ec5f5a1e,11244205,eyes-scar,ears-rosa,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,3,41
0x024dc4aeda7522a4e30ce09260f9d05c9090d7f2,11056220,eyes-tricky,ears-sakura,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,3,40
0x024dc4aeda7522a4e30ce09260f9d05c9090d7f2,11244751,eyes-gero,ears-clover,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,43
0x024dc4aeda7522a4e30ce09260f9d05c9090d7f2,11276351,eyes-gero,ears-seaslug,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,2,52
0xb971b723d4db6bbef89ae5429275d09d10b4869e,10813239,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
0xb971b723d4db6bbef89ae5429275d09d10b4869e,11011392,eyes-cucumber-slice,ears-clover,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,6,32
0xb971b723d4db6bbef89ae5429275d09d10b4869e,11198553,eyes-cucumber-slice,ears-rosa,mouth-mosquito,horn-kestrel,back-bidens,tail-gravel-ant,Plant,1,34
0xdc7a2b502de2babc69a9972d006ed353760c7501,3827145,eyes-papi,ears-hollow,mouth-piranha,horn-clamshell,back-turnip,tail-yam,Plant,0,37
0xdc7a2b502de2babc69a9972d006ed353760c7501,7399129,eyes-papi,ears-clover,mouth-serious,horn-rose-bud,back-pumpkin,tail-grass-snake,Plant,0,32
0xdc7a2b502de2babc69a9972d006ed353760c7501,11018786,eyes-robin,ears-friezard,mouth-piranha,horn-unko,back-blue-moon,tail-shrimp,Aquatic,0,53
0xa06eba77b61cdd531646304fa20b0e22fba5025d,1632224,eyes-confused,ears-sakura,mouth-herbivore,horn-cactus,back-turnip,tail-cattail,Plant,4,31
0xa06eba77b61cdd531646304fa20b0e22fba5025d,9063288,eyes-robin,ears-belieber,mouth-goda,horn-dual-blade,back-hero,tail-rice,Beast,3,43
0xa06eba77b61cdd531646304fa20b0e22fba5025d,11232737,eyes-mavis,ears-seaslug,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,3,48
0x38667a7ee1a4d77d471bec08f7a75eb5cb8987b7,11048749,eyes-nerdy,ears-tassels,mouth-kotaro,horn-scaly-spear,back-indian-star,tail-tiny-dino,Reptile,3,39
0x38667a7ee1a4d77d471bec08f7a75eb5cb8987b7,11287374,eyes-scar,ears-sakura,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,42
0x38667a7ee1a4d77d471bec08f7a75eb5cb8987b7,11292071,eyes-confused,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
0x0329a9aab7f6f1a707bff0452395a84089be3c86,7167056,eyes-papi,ears-rosa,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
0x0329a9aab7f6f1a707bff0452395a84089be3c86,8194392,eyes-blossom,ears-friezard,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,5,43
0x0329a9aab7f6f1a707bff0452395a84089be3c86,8316646,eyes-robin,ears-peace-maker,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,4,50
0x501a78a5995b372f281b72c2abee0582d18cbe4b,9271716,eyes-clear,ears-bubblemaker,mouth-piranha,horn-watermelon,back-blue-moon,tail-koi,Aquatic,3,54
0x501a78a5995b372f281b72c2abee0582d18cbe4b,11201332,eyes-clear,ears-seaslug,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,4,48
0x501a78a5995b372f281b72c2abee0582d18cbe4b,11202128,eyes-cucumber-slice,ears-hollow,mouth-serious,horn-leaf-bug,back-watering-can,tail-cattail,Plant,4,31
